"""ID""","""Name""","""Desc""","""NameStrDict""","""DescStrDict""","""Icon""","""Model""","""Quality""","""DropItem""","""DropScale""","""StackNum"""
1,Weapon_3000,,80101,1,Equip/Weapon_HW_01,Weapon_HW_01_SM,2,Model/Weapon_HW_01_SM,0.6,1
2,Weapon_3001,,80102,1,Equip/Weapon_HW_02,Weapon_HW_02_SM,2,Model/Weapon_HW_02_SM,0.6,1
3,Weapon_3002,,80103,1,Equip/Weapon_HW_03,Weapon_HW_03_SM,2,Model/Weapon_HW_03_SM,0.6,1
4,Weapon_3003,,80104,1,Equip/Weapon_HW_04,Weapon_HW_04_SM,2,Model/Weapon_HW_04_SM,0.6,1
5,Weapon_3004,,80105,1,Equip/Weapon_HW_05,Weapon_HW_05_SM,2,Model/Weapon_HW_05_SM,0.6,1
6,Weapon_3005,,80106,1,Equip/Weapon_HW_06,Weapon_HW_06_SM,2,Model/Weapon_HW_06_SM,0.6,1
7,Weapon_3006,,80107,1,Equip/Weapon_HW_07,Weapon_HW_07_SM,2,Model/Weapon_HW_07_SM,0.6,1
8,Weapon_3007,,80108,1,Equip/Weapon_HW_08,Weapon_HW_08_SM,2,Model/Weapon_HW_08_SM,0.6,1
9,Weapon_3008,,80109,1,Equip/Weapon_HW_09,Weapon_HW_09_SM,2,Model/Weapon_HW_09_SM,0.6,1
10,Weapon_3009,,80110,1,Equip/Weapon_HW_10,Weapon_HW_10_SM,2,Model/Weapon_HW_10_SM,0.6,1
11,Weapon_3010,,80111,1,Equip/Weapon_HW_11,Weapon_HW_11_SM,2,Model/Weapon_HW_11_SM,0.6,1
12,Weapon_3011,,80112,1,Equip/Weapon_HW_12,Weapon_HW_12_SM,2,Model/Weapon_HW_12_SM,0.6,1
1001,Weapon_3519,,80001,1,Equip/Weapon_S_01,Weapon_S_01_SM,2,Model/Weapon_S_01_SM,0.6,1
1002,Weapon_3520,,80002,1,Equip/Weapon_S_02,Weapon_S_02_SM,2,Model/Weapon_S_02_SM,0.6,1
1003,Weapon_3521,,80003,1,Equip/Weapon_S_03,Weapon_S_03_SM,2,Model/Weapon_S_03_SM,0.6,1
1004,Weapon_3522,,80004,1,Equip/Weapon_S_04,Weapon_S_04_SM,2,Model/Weapon_S_04_SM,0.6,1
1005,Weapon_3523,,80005,1,Equip/Weapon_S_05,Weapon_S_05_SM,2,Model/Weapon_S_05_SM,0.6,1
1006,Weapon_3524,,80006,1,Equip/Weapon_S_06,Weapon_S_06_SM,2,Model/Weapon_S_06_SM,0.6,1
1007,Weapon_3525,,80007,1,Equip/Weapon_S_07,Weapon_S_07_SM,2,Model/Weapon_S_07_SM,0.6,1
1008,Weapon_3526,,80008,1,Equip/Weapon_S_08,Weapon_S_08_SM,2,Model/Weapon_S_08_SM,0.6,1
1009,Weapon_3527,,80009,1,Equip/Weapon_S_09,Weapon_S_09_SM,2,Model/Weapon_S_09_SM,0.6,1
1010,Weapon_3528,,80010,1,Equip/Weapon_S_10,Weapon_S_10_SM,2,Model/Weapon_S_10_SM,0.6,1
1011,Weapon_3529,,80011,1,Equip/Weapon_S_11,Weapon_S_11_SM,2,Model/Weapon_S_11_SM,0.6,1
1012,Weapon_3530,,80012,1,Equip/Weapon_S_12,Weapon_S_12_SM,2,Model/Weapon_S_12_SM,0.6,1
10001,Clothes_6000,,80201,1,Equip/Cloth_01,Clothes_6000,2,Drop/Drop_055/Drop_055,1,1
10002,Clothes_6001,,80202,1,Equip/Cloth_02,Clothes_6001,2,Drop/Drop_055/Drop_055,1,1
10003,Clothes_6002,,80203,1,Equip/Cloth_03,Clothes_6002,2,Drop/Drop_055/Drop_055,1,1
10004,Clothes_6003,,80204,1,Equip/Cloth_04,Clothes_6003,2,Drop/Drop_055/Drop_055,1,1
10005,Clothes_6004,,80205,1,Equip/Cloth_05,Clothes_6004,2,Drop/Drop_055/Drop_055,1,1
10006,Clothes_6005,,80206,1,Equip/Cloth_06,Clothes_6005,2,Drop/Drop_055/Drop_055,1,1
10007,Clothes_6006,,80207,1,Equip/Cloth_07,Clothes_6006,2,Drop/Drop_055/Drop_055,1,1
10008,Clothes_6007,,80208,1,Equip/Cloth_08,Clothes_6007,2,Drop/Drop_055/Drop_055,1,1
10009,Clothes_6008,,80209,1,Equip/Cloth_09,Clothes_6008,2,Drop/Drop_055/Drop_055,1,1
10010,Clothes_6009,,80210,1,Equip/Cloth_10,Clothes_6009,2,Drop/Drop_055/Drop_055,1,1
11001,Shoes_9000,,80301,1,Equip/Shoes_01,Shoes_9000,2,Drop/Drop_055/Drop_055,1,1
11002,Shoes_9001,,80302,1,Equip/Shoes_02,Shoes_9001,2,Drop/Drop_055/Drop_055,1,1
11003,Shoes_9002,,80303,1,Equip/Shoes_03,Shoes_9002,2,Drop/Drop_055/Drop_055,1,1
11004,Shoes_9003,,80304,1,Equip/Shoes_04,Shoes_9003,2,Drop/Drop_055/Drop_055,1,1
11005,Shoes_9004,,80305,1,Equip/Shoes_05,Shoes_9004,2,Drop/Drop_055/Drop_055,1,1
